Name,daily total trading volume,Prices,Volume,Ecology,Hyperlink,Project Description,Official Hyperlink List,Details,Founded Date,Funders,Related News Links,Twitter Hyperlink,Followers,Following,Significant Events,Similar Projects,AIScore,Explains
AaveAAVE,,47.099,13042.026,Bitcoin,https://www.rootdata.com/Projects/detail/BitcoinVM?k=MTEzNzQ%3D,Modular Bitcoin Layer2,"https://www.bitcoinvm.network/, https://x.com/BitcoinVM_BVM, https://bitcoinvm.gitbook.io/bitcoinvm-docs/bitcoinvm/overview, https://bitcoinvm.medium.com/",BitcoinVM is a modular Bitcoin Layer2 Compatible with EVM. Backed by BakerySwap. Allow use BTC as gas & native currency and deploy customized Bitcoin Layer2 easily with BVM Stack.,2023,,https://bitcoinvm.medium.com/introducing-bitcoinvm-an-evm-compatible-bitcoin-layer2-3eab6f904393,,--,--,,"#Eclipse, #Reya Network, #Boba Network, #Mantle Network, #Layer N, #TunaChain, #Fraxtal, #Camp Network",0.48436,"{'feat0': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat1': {'feat': 'MA_Ratio', 'data': [0.0197136545304307]}, 'feat2': {'feat': 'Month', 'data': [12.0]}, 'feat3': {'feat': 'pct_change', 'data': [-0.0076569678407351]}, 'feat4': {'feat': 'DayOfWeek', 'data': [3.0]}, 'feat5': {'feat': 'PR_MA_Ratio', 'data': [0.071641198650526]}, 'feat6': {'feat': 'Hourly', 'data': [0.0]}, 'feat7': {'feat': 'Z_score', 'data': [-0.7342218930121919]}, 'feat8': {'feat': 'MA_Ratio_short', 'data': [0.0254932164041136]}, 'feat9': {'feat': 'boll', 'data': [0.5361787302893662]}}"
CardanoADA,,0.25698,29567756.16,,https://www.rootdata.com/Projects/detail/Ethereum%20Follow%20Protocol?k=MTA4MTI%3D,The social graph for Ethereum,"https://ethfollow.xyz/, https://x.com/ethfollowpr, https://docs.ethfollow.xyz/","Ethereum Follow Protocol is an onchain (L1 + L2s) social graph protocol for ethereum accounts designed to fit together with the other existing ethereum identity legos, like ENS. It can provide the social background of the Ethereum account, message contacts, suggestions based on friends' activities and other features.",2023,Brantly Millegan,,https://x.com/ethfollowpr,2.78 K,3,,"#Lens Protocol, #Farcaster, #Cyber, #Relation, #Releap Protocol, #5Degrees, #Rariko, #Kleo Network",0.7030428,"{'feat0': {'feat': 'CDLMARUBOZU', 'data': [0.0]}, 'feat1': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat2': {'feat': 'CDLRISEFALL3METHODS', 'data': [0.0]}, 'feat3': {'feat': 'CDLHARAMICROSS', 'data': [0.0]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'CDLINVERTEDHAMMER', 'data': [0.0]}, 'feat6': {'feat': 'ULTOSC', 'data': [0.5936535312758997]}, 'feat7': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat8': {'feat': 'pct_change', 'data': [-0.0043928459366173]}, 'feat9': {'feat': 'zsVol', 'data': [-0.677670512240137]}}"
AerodromeAERO,,,,,https://www.rootdata.com/Projects/detail/Tether?k=NDEzOQ%3D%3D,The largest issuer of stablecoin in the world,"https://tether.to/, https://x.com/Tether_to/, https://www.linkedin.com/company/tether, https://t.me/OfficialTether","Tether is the largest issuer of stablecoin in the world, designed to facilitate the use of fiat currencies in a digital manner. It gives customers the ability to transact with traditional currencies on the blockchain, without the volatility and complexity usually associated with digital currencies. All Tether tokens are pegged 1-to-1 to the corresponding fiat currency and are backed 100% by Tether's reserves.",2014,"Jean-Louis van der Velde, William E. Quigley, Paolo Ardoino, Claudia L., Giancarlo Devasini, Blockstream, Bitdeer, XREX, Oobit, Northern Data, Holepunch, Citypay, Volcano Energy, Infinite Fleet / Exordium",,https://x.com/Tether_to/,488.84 K,245,,"#Paxos, #Circle, #Agora, #First Digital, #OneCash, #BiLira, #Centre, #Stably",,
AlgorandALGO,,2.554,4547615.806,,https://www.rootdata.com/Projects/detail/Binance.US?k=MzkwNw%3D%3D,Cryptocurrency exchange,"https://www.binance.us/, https://x.com/binanceus, https://www.linkedin.com/company/binance-us, https://t.me/Binance_USA, https://blog.binance.us/","Launched in September 2019, Binance.US is a cryptocurrency exchange established to serve U.S. consumers and comply with U.S. regulations.",2019,"Norman Reed, Christopher Blodgett, Lesley O'Neill, Jasmine Lee, Gin Chao, No Limit Holdings, Tribe Capital, Circle Ventures, Fundamental Labs, Foundation Capital, VanEck, Gaingels, RRE Ventures, NLVC, Original Capital, Gold House, Custodia, Figment",,https://x.com/binanceus,456.02 K,158,"Apr 06, 2022 - Binance.US raised $ 200 M in Seed round","#Coinbase, #Bakkt, #Kraken, #Gemini, #Abra, #CoinList, #River Financial, #Bullish",0.69957477,"{'feat0': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat1': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat2': {'feat': 'CDLBELTHOLD', 'data': [0.0]}, 'feat3': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat4': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat5': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat6': {'feat': 'CDLHARAMICROSS', 'data': [0.0]}, 'feat7': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat8': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat9': {'feat': 'RSI', 'data': [0.5807921700120507]}}"
OthersideAPE,,7.3658,25011657.51,Solana,https://www.rootdata.com/Projects/detail/SolanaPrime?k=NDk5OQ%3D%3D,IDO Launchpad,"https://solanaprime.com/, https://x.com/solana_prime, https://t.me/SolanaPrimeOfficial, https://medium.com/solanaprime, https://coinmarketcap.com/currencies/solanaprime/, https://www.coingecko.com/en/coins/solanaprime","SolanaPrime, an IDO Launchpad powered by Solana, will be the primary market gateway for the next generation of DeFi, GameFi, and Metaverse dApps to launch on the Solana ecosystem. This can be done either as a direct token participation in the IDO or an indirect exposure to SolanaPrime in its entirety (through the SPIX token).",2022,"Contango Digital Assets, ZBS capital, Baselayer Capital, Sheesha Finance, Pluto Digital, Faculty Capital, Llama Ventures, Nodeseeds, Arenum, Influx Group",https://cointelegraph.com/press-releases/solanaprime-closes-seed-round-for-primary-market-gamefi-and-defi-dapp-on-solana,https://x.com/solana_prime,15.31 K,103,"Feb 05, 2022 - SolanaPrime completed a Seed round","#Jupiter, #Bounce Finance, #DAO Maker, #MOBY, #Duckdao, #Poolz Finance, #Impossible Finance, #Velar",0.29779917,"{'feat0': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat1': {'feat': 'Month', 'data': [12.0]}, 'feat2': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat3': {'feat': 'zsVol', 'data': [-0.3151933025541582]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'ULTOSC', 'data': [0.4722061704896772]}, 'feat6': {'feat': 'Z_score', 'data': [-1.2508990098379185]}, 'feat7': {'feat': 'MA_Ratio_short', 'data': [0.0990191434912631]}, 'feat8': {'feat': 'RSI', 'data': [0.5226287401053882]}, 'feat9': {'feat': 'boll', 'data': [0.1775626535136817]}}"
AptosAPT,,6.8147,25662674.39,Base,https://www.rootdata.com/Projects/detail/circle.tech?k=MTIyOTQ%3D,Q&A paywall,"https://circle.tech/, https://x.com/teamcircletech, https://docs.circle.tech/","Circle.tech allows anyone to paywall access to their time. Allow people to connect with you through questions and personal 1-on-1 private chatrooms. Earn and monetize your time by answering questions and allowing people to connect with you. Whether for fun, business, connections or relationships, circle.tech provides an intimate space for people to connect and find their inner circle.",2024,,,,--,--,,"#Mirror, #Trends Market, #Lunchbreak, #Kurobi, #Koraplay, #Tomo, #Freeper, #SociaPol",0.7006547,"{'feat0': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat1': {'feat': 'CDLBELTHOLD', 'data': [0.0]}, 'feat2': {'feat': 'CDLRISEFALL3METHODS', 'data': [0.0]}, 'feat3': {'feat': 'CDLMORNINGSTAR', 'data': [0.0]}, 'feat4': {'feat': 'Month', 'data': [12.0]}, 'feat5': {'feat': 'Z_score', 'data': [-0.4681639890962192]}, 'feat6': {'feat': 'ULTOSC', 'data': [0.5518819536324108]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'boll', 'data': [0.55622390210149]}, 'feat9': {'feat': 'RSI', 'data': [0.5490143633421735]}}"
ArweaveAR,,32.272,1677703.74,,https://www.rootdata.com/Projects/detail/Ripple?k=MTA%3D,International remittance solution,"https://xrpl.org/, https://x.com/Ripple, https://github.com/ripple/rippled, https://ripple.com/files/ripple_consensus_whitepaper.pdf, https://coinmarketcap.com/currencies/xrp/","Ripple is a real-time gross settlement system, currency exchange, and remittance network created by Ripple Labs Inc., a US-based technology company. Released in 2012, Ripple is based on a distributed open source protocol and supports tokens representing fiat currency, cryptocurrency, commodities, or other units of value. It claims to enable ""secure, instant, and nearly free global financial transactions of any size with no chargebacks"".",2012,"Brad Garlinghouse, Chris Larsen, David Schwartz, Monica Long, Stuart Alderoty, Don Steul, Jack McDonald, Eric van Miltenburg, Kiersten Hollars, Tetragon, Andreessen Horowitz, Pantera Capital, Polychain, Digital Currency Group, Lightspeed Venture, Blockchain Capital, IDG Capital, RRE Ventures, MV Global, SCB Digital Ventures, Abstract Ventures, SBI Holdings, Accenture Ventures, Standard Chartered, Wicklow Capital, Securitize, Hex Trust, Vega Protocol, Futureverse, Standard Custody & Trust, Flowdesk, Metaco, Keyrock, Mintable, Thallo, Heirloom, Supermojo, PDAX, Keyless, Dharma Labs, Dragonfly, Blockchain Founders Fund, Metaco, XRP Ledger, Fortress Trust, Standard Custody & Trust",,https://x.com/Ripple,2.72 M,986,"Sep 29, 2021 - Ripple announces $250 million fund to support NFT projects on XRP Ledger | Dec 20, 2019 - Ripple raised $ 200 M in Series C round | Sep 15, 2016 - Ripple raised $ 55 M in Series B round | May 19, 2015 - Ripple raised $ 28 M in Series A round | Apr 11, 2013 - Ripple completed an Angel round","#BitPay, #MoonPay, #Custodia, #Strike, #BCB Group, #Tribal Credit, #Ramp, #Qulian Technology",0.7180043,"{'feat0': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat1': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat2': {'feat': 'MA_Ratio_short', 'data': [-0.0045266502173212]}, 'feat3': {'feat': 'PR_MA_Ratio', 'data': [0.0294180988069139]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'MA_Ratio', 'data': [-0.0175505411152433]}, 'feat6': {'feat': 'Z_score', 'data': [-0.8922381826234557]}, 'feat7': {'feat': 'Month', 'data': [12.0]}, 'feat8': {'feat': 'ULTOSC', 'data': [0.5239690823697946]}, 'feat9': {'feat': 'RSI', 'data': [0.5704414989109421]}}"
Arbitrum / Offchain LabsARB,,,,,https://www.rootdata.com/Projects/detail/Dogecoin?k=MTk%3D,Open source peer-to-peer digital currency,"https://x.com/dogecoin, https://github.com/dogecoin/dogecoin, https://github.com/dogecoin/dogecoin/blob/master/README.md, https://coinmarketcap.com/currencies/dogecoin/","Dogecoin is an open-source, peer-to-peer digital currency.",2013,"Jackson Palmer, Marshall Hayner, Angel Versetti","https://www.gemini.com/cryptopedia/dogecoin-joke-cryptocurrency, https://decrypt.co/56299/why-celebrities-love-dogecoin-from-elon-musk-to-lil-yachty",https://x.com/dogecoin,3.97 M,24,,"#Bitcoin, #Litecoin, #Worldcoin, #Decred, #Zcash, #Dash, #Monero, #MobileCoin",,
CosmosATOM,,3.953,1011759.375,TON,https://www.rootdata.com/Projects/detail/The%20Open%20Network?k=OTkz,A fully decentralized Layer1 blockchain designed by Telegram,"https://ton.org/, https://x.com/ton_blockchain, https://t.me/tonblockchain, https://github.com/newton-blockchain, https://ton.org/docs, https://coinmarketcap.com/currencies/toncoin/, https://defillama.com/chain/TON","TON (The Open Network) is a fully decentralized Layer-1 blockchain designed by Telegram. It offers ultra-fast transactions, minimal fees, easy-to-use apps, and is eco-friendly.",2021,"Pavel Durov, Steve Yun, Inal Kardan, Jordan Dunne, Lisa Ferdman, Julian Tan, Pantera Capital, Animoca Brands, Cypher Capital Group, Mask Network, Mirana Ventures, NGC Ventures, M-Ventures, Catizen",,https://x.com/ton_blockchain,2.37 M,772,"Mar 06, 2024 - The Open Network raised $ 8 M in funding round | Jul 07, 2022 - TON Foundation raised $90 million for its Alpha-Vista Fund | Apr 11, 2022 - TON Foundation raised $250 million for its first ecosystem fund | Jun 01, 2020 - The Open Network was live on mainnet","#Ethereum, #Solana, #Conflux, #Agoric, #Aleo, #Anoma Network, #Injective, #PlatON",0.7118753,"{'feat0': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat1': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat2': {'feat': 'Month', 'data': [12.0]}, 'feat3': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat4': {'feat': 'Hourly', 'data': [0.0]}, 'feat5': {'feat': 'zsVol', 'data': [-0.4749125226401195]}, 'feat6': {'feat': 'MA_Ratio_short', 'data': [0.0046745956653713]}, 'feat7': {'feat': 'PR_MA_Ratio', 'data': [0.0421718838205974]}, 'feat8': {'feat': 'PR_MA_Ratio_short', 'data': [0.0373228190669961]}, 'feat9': {'feat': 'pct_change', 'data': [-0.0007623403849817]}}"
AvalancheAVAX,,4.9096,6369386.27,,https://www.rootdata.com/Projects/detail/Cardano?k=NTA%3D,Public blockchain,"https://www.cardano.org/, https://x.com/cardano, https://www.linkedin.com/company/cardano-foundation, https://t.me/Cardano, https://cardanoupdates.com/, https://docs.cardano.org/en/latest/, https://cardano.org/newsletter/, https://coinmarketcap.com/currencies/cardano/, https://forum.cardano.org/, https://defillama.com/chain/Cardano","Cardano is an open-source, decentralized, and public blockchain platform. Consensus is achieved using proof of stake. Development of the platform began in 2015, and it was launched in 2017 by Charles Hoskinson, a co-founder of Ethereum.",2015,"Frederik Gregaard, Charles Hoskinson, Jeremy Wood, Giorgio Zinetti, Babajide Fashola, Bit2Me, Protego Trust Bank",,https://x.com/cardano,1.37 M,466,"Sep 12, 2021 - Cardano launched smart contracts after successful hard fork | Sep 29, 2017 - Cardano was live on mainnet","#Ethereum, #Solana, #Conflux, #Aleo, #Anoma Network, #PlatON, #Concordium, #NYM",0.7277601,"{'feat0': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat1': {'feat': 'MA_Ratio', 'data': [-0.0006413063880581]}, 'feat2': {'feat': 'ULTOSC', 'data': [0.5451818253954038]}, 'feat3': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat4': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat5': {'feat': 'PR_MA_Ratio_short', 'data': [0.0388524960469846]}, 'feat6': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat7': {'feat': 'CDLPIERCING', 'data': [0.0]}, 'feat8': {'feat': 'zsVol', 'data': [-0.5194572394272088]}, 'feat9': {'feat': 'pct_change', 'data': [-0.0007604562737641]}}"
Axie InfinityAXS,,0.15487,56813999.7,,https://www.rootdata.com/Projects/detail/Tron?k=MTE5,Layer-one blockchain,"https://tron.network/, https://x.com/trondao, https://github.com/tronprotocol/java-tron, https://medium.com/@Tronfoundation, https://coinmarketcap.com/currencies/tron/, https://defillama.com/chain/Tron",Tron is committed to accelerating the decentralization of the Internet through blockchain technology and decentralized applications (DApps).,2017,"Justin Sun, BitTorrent, Cassava Network, OpenOcean, Few and Far, Playbux, XY Finance, Steem, Multichain, Lino Network, CoinPlay, Cadenza Ventures",,https://x.com/trondao,1.52 M,574,"Jun 25, 2018 - Tron was live on mainnet","#Ethereum, #Solana, #Conflux, #Aleo, #Anoma Network, #PlatON, #Concordium, #NYM",0.7035602,"{'feat0': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat2': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat3': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat4': {'feat': 'CDLUPSIDEGAP2CROWS', 'data': [0.0]}, 'feat5': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat6': {'feat': 'ULTOSC', 'data': [0.5255679047559096]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'RSI', 'data': [0.5791018430244709]}, 'feat9': {'feat': 'boll', 'data': [0.4007567542035013]}}"
